Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Khris Middleton,SF,2269,1.7,-0.3,1.9,middlkh01,MIL,2021
Giannis Antetokounmpo,PF,2013,6.2,2.8,5.6,antetgi01,MIL,2021
Jrue Holiday,PG,1907,2.8,0.6,2.6,holidjr01,MIL,2021
Brook Lopez,C,1902,0.0,0.0,0.9,lopezbr01,MIL,2021
Donte DiVincenzo,SG,1814,-0.2,0.4,1.0,divindo01,MIL,2021
Pat Connaughton,SG,1575,-0.5,0.5,0.8,connapa01,MIL,2021
Bobby Portis,C,1372,1.8,-0.4,1.2,portibo01,MIL,2021
Bryn Forbes,SG,1354,0.4,-1.7,0.2,forbebr01,MIL,2021
D.J. Augustin,PG,713,-1.3,-0.9,0.0,augusdj01,MIL,2021
Thanasis Antetokounmpo,SF,551,-3.7,0.2,-0.2,antetth01,MIL,2021
P.J. Tucker,PF,397,-2.9,0.0,-0.1,tuckepj01,MIL,2021
Jeff Teague,PG,334,-0.5,-1.0,0.1,teaguje01,MIL,2021
Jordan Nwora,SF,274,-0.7,-0.4,0.1,nworajo01,MIL,2021
Sam Merrill,SG,233,-0.7,-0.3,0.1,merrisa01,MIL,2021
Torrey Craig,SF,201,-2.2,1.6,0.1,craigto01,MIL,2021
Mamadi Diakite,PF,141,-3.3,0.9,0.0,diakima01,MIL,2021
D.J. Wilson,PF,105,-3.7,-1.4,-0.1,wilsodj01,MIL,2021
Axel Toupane,SF,61,-4.1,1.1,0.0,toupaax01,MIL,2021
Rodions Kurucs,SF,34,-0.9,3.1,0.0,kurucro01,MIL,2021
Justin Jackson,SF,33,-3.2,-4.8,0.0,jacksju01,MIL,2021
Elijah Bryant,SG,32,-3.9,-3.4,0.0,bryanel01,MIL,2021
Jaylen Adams,PG,18,-15.1,-4.6,-0.1,adamsja01,MIL,2021
