Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Jae'Sean Tate,2043,-1.6,0.3,0.3,tateja01,HOU,2021
Christian Wood,1326,1.7,-0.3,1.1,woodch01,HOU,2021
John Wall,1288,1.2,-1.9,0.4,walljo01,HOU,2021
Sterling Brown,1229,-1.6,0.0,0.1,brownst02,HOU,2021
KJ Martin,1068,-1.4,-0.4,0.0,martike04,HOU,2021
P.J. Tucker,959,-5.3,0.7,-0.6,tuckepj01,HOU,2021
Danuel House Jr.,932,-2.8,-0.7,-0.3,houseda01,HOU,2021
Kelly Olynyk,840,2.9,0.9,1.2,olynyke01,HOU,2021
Kevin Porter Jr.,835,-1.1,-2.4,-0.3,porteke02,HOU,2021
Eric Gordon,789,0.7,-1.7,0.2,gordoer01,HOU,2021
David Nwaba,679,-1.4,0.6,0.2,nwabada01,HOU,2021
Victor Oladipo,669,-0.3,-1.0,0.1,oladivi01,HOU,2021
Ben McLemore,537,-3.4,-1.1,-0.3,mclembe01,HOU,2021
Armoni Brooks,520,-1.1,-2.1,-0.2,brookar01,HOU,2021
DeMarcus Cousins,506,-1.6,1.5,0.2,couside01,HOU,2021
D.J. Augustin,416,0.6,-2.6,0.0,augusdj01,HOU,2021
Anthony Lamb,415,-3.4,-2.7,-0.4,lamban01,HOU,2021
Avery Bradley,391,-6.2,-0.8,-0.5,bradlav01,HOU,2021
D.J. Wilson,328,-2.3,-0.4,-0.1,wilsodj01,HOU,2021
Mason Jones,307,-1.9,-1.4,-0.1,jonesma05,HOU,2021
James Harden,290,5.4,-0.6,0.5,hardeja01,HOU,2021
DaQuan Jeffries,261,-3.5,-0.6,-0.1,jeffrda01,HOU,2021
Justin Patton,247,-3.6,1.4,0.0,pattoju01,HOU,2021
Khyri Thomas,153,2.5,-0.1,0.2,thomakh01,HOU,2021
Cameron Oliver,87,-1.0,-1.0,0.0,oliveca01,HOU,2021
Rodions Kurucs,75,-10.1,1.5,-0.1,kurucro01,HOU,2021
Bruno Caboclo,36,-8.4,-1.7,-0.1,cabocbr01,HOU,2021
Cameron Reynolds,34,-3.4,-4.8,-0.1,reynoca01,HOU,2021
Brodric Thomas,24,-7.0,0.6,0.0,thomabr01,HOU,2021
Ray Spalding,19,-12.2,-2.1,-0.1,spaldra01,HOU,2021
